;meta[language=de]
; id      |key(hex)|key(str)| text
    301032|5a979acb||Krieger der Wilden Jagd
    519868|00000000||"Die Nordlandkriege: Mythen, Lügen und Propaganda." Historische Abhandlung von Restif de Montholon.
    519879|00000000||Einige Seiten fehlen.
    572808|00000000||Hexer Georg. Höchste Zeit, ihn zu übermalen.
    572811|00000000||Hexer zu Pferde haben sich nicht ausgezahlt.
    572812|00000000||Lange, einsame Winter bringen einen auf absurde Ideen.
    332443|002e3ae9||Buch
   1012975|00000000||Keine Reaktion von Kammer und Rat?
   1012976|00000000||Du scherzt wohl? Sie haben Radovid aufgefordert, zu "intervenieren", sowie er sie ernannt hatte.
   1012978|00000000||Später erfuhr ich, dass Priester des Ewigen Feuers in den Ruinen der Akademie standen und dem Mob versprachen, dass diese Strafe alle Magier und Verräter erwarte.
   1012973|00000000||Wenn du hier bist, was ist dann aus Aretusa geworden?
   1012974|00000000||Am Tag meiner Ankunft in Novigrad erhielt ich eine Botschaft von Biruta Icarti. Kurz und bündig: "Schule von Redaniern überrannt. Die Bibliotheken brennen. Eine Handvoll Studentinnen ist mit Nina Vivero geflohen, die anderen sind tot. Es ist vorbei."
   1012963|00000000||Aretusa, die Schule - was ist damit geschehen?
   1012980|00000000||Leb wohl, Rita.
   1012964|00000000||Leb wohl.
   1012962|00000000||Wie haben die Hexenjäger dich gekriegt?
   1012965|00000000||Ich dachte, Margarita Laux-Antille wäre die Letzte, die sich von Hexenjägern fassen lässt.
   1012966|00000000||Das stimmt, wenn es nur mich betroffen hätte. Du vergisst, dass ich meine Studentinnen berücksichtigen musste.
   1012967|00000000||Ich wusste, dass die Jäger schließlich Aretusa erreichen würden - es war nur eine Frage der Zeit. Als ich hörte, dass Triss eine Fluchtroute nach Kovir organisierte, sah ich keinen Grund zu zögern.
   1012968|00000000||Ich sammelte meine Novizinnen, und wir ritten nach Novigrad. Leider wurden wir gefasst und in Deireadh eingesperrt, bevor ich Triss kontaktieren konnte.
   1012969|00000000||Ich hab gar keine anderen Zauberinnen bei dir gesehen ...
   1012970|00000000||Weil sie schon hingerichtet wurden. Verbrannt. Lebendig. Eine nach der anderen. Die talentiertesten Mädchen des Nordens ... Radovid hat mich für den Schluss aufgehoben.
   1012958|00000000||Wie fühlst du dich?
   1012959|00000000||Besser, danke. Wenn du nicht rechtzeitig gekommen wärst, hätte alles viel schlimmer ausgehen können. Ich schulde dir was.
   1028937|00000000||Bedank dich bei Yennefer. Es war ihre Idee.
   1012961|00000000||Geralt. Was kann ich für dich tun?
   1031674|00000000||War auf der Jagd, als er fiel. Hat vielleicht gespürt, dass es übel enden könnte, doch der Blutdurst war zu stark.
    385297|00000000||Triss' Ohrring?
    444237|00000000||Nur gut, dass ich ihn gefunden habe ...
    408102|00000000||Ich werde ihn Triss bringen.
    385301|00000000||[Nehmen.]
    408100|00000000||Kann ihn ebenso gut liegen lassen. Triss wird den anderen schon weggeworfen haben.
    385303|00000000||[Liegenlassen.]
   1055413|f7a0c879||Nekker-Krieger
   1069326|e0351e50||Schatztruhe
    577727|00000000||Hast du wieder getrunken? Bewegst dich wie eine Wanderdüne.
    577729|00000000||Das nennst du starken Schlag?
    577731|00000000||Stark genug, um deine Deckung zu durchbrechen.
    577733|00000000||Ich glaube, ich übe morgen lieber mit Ciri. Die ist eine größere Herausforderung.
    575089|00000000||Ich hab gehört, der Alte ist beim Unterrichten eingeschlafen.
    575093|00000000||Vielleicht zieht ein Sturm auf ...
   1074151|00000000||Hmm ... Ich frag mich, ob Papageien die Bergluft gut tut ...
    516508|b0678eeb||Pferd
    574625|00000000||Besser nicht.
    574640|00000000||Besser nicht. Vesemir hat gesagt, wenn doch, musst du eine Schüssel Nacktschnecken essen. Mit Salz.
    574641|00000000||*Lach* Iiiiiieh!
    576732|00000000||Genau. Also benimm dich lieber.
    576738|00000000||Na klar. Ist das eine Hexerschule oder ein Elfenbadehaus?
   1058679|00000000||Na klar. [TUTORIAL BEGINNEN.]
   1058682|00000000||Diesmal nicht. Glaub mir, du solltest Vesemir nicht warten lassen.
   1058680|00000000||Diesmal nicht. [TUTORIAL ÜBERSPRINGEN]
    574642|00000000||Na los. Wir üben unten mit den anderen.
    576736|00000000||Rennen wir über die Mauern?
    574633|00000000||Eine Entschuldigung reicht nicht.
    574635|00000000||Du wirst "Ghule und Alghule" komplett lesen. Mit allen Anhängen.
    574637|00000000||Bitte nicht ... Lieber miste ich die Ställe aus!
    574639|00000000||Ende der Diskussion.
