;meta[language=zh]
; id      |key(hex)|key(str)| text
    320960|00000000||我不會讓他們把妳帶走的。
    320972|00000000||我不會讓他們把妳帶走的。
    320974|00000000||我知道。
    561082|00000000||妳千萬要注意自己的安全。
    320982|00000000||別把我當成小孩子。
    320984|00000000||妳還是小孩的時候，我就不曾當妳是小孩子。
    320986|00000000||我喜歡看你笑。
    320988|00000000||過來。
    320990|00000000||不會有事的。
    320964|00000000||他們的目標是妳，不管發生什麼事，妳千萬不能涉險。
    320966|00000000||你是說要我坐在這裡，看著別人為了我而冒生命危險？
    320968|00000000||這次就聽我的好不好，什麼都別管。
    320958|00000000||切記，不能讓自己身處險境。
    311661|00000000||妳有時間嗎？
    320956|00000000||喔，又要開始聊正經事了。
    520472|00000000||馬上就要開戰了。
    548190|00000000||哈哈哈！
    586567|00000000||你說的沒錯，真的有用。
    586570|00000000||謝謝。
    586572|00000000||很高興能幫上忙。
    586574|00000000||現在呢？
    586576|00000000||我去看看親愛的賢者大人在哪裡…
    548186|00000000||哈哈！利維亞的傑洛特輸了！你該加強自己的閃躲技巧囉。
    549111|00000000||妳確定我不是故意讓妳贏的嗎？
    549151|00000000||你確定自己不是因為輸給真正的高手而感到懊惱嗎？
    547898|07606bf7||會計
   1076927|00000000||跟狂獵作戰…會比游擊戰來的緊湊喔。
    546798|00000000||我沒問題的，別擔心。
   1076925|00000000||薇絲…別生氣。
    572659|00000000||竟然把弒王者給找來，這是什麼爛決定。
    301032|5a979acb||狂獵士兵
    307008|103d66e3||野兔
    550116|00000000||我不在乎。
    550129|00000000||老實說，我不知道，也不在乎。
    550131|00000000||這次跟阿瓦拉克訓練完後，我們就要動身去諾維格瑞了。妳還記得嗎？
    550133|00000000||計劃改變了。伊勒瑞斯將出席女巫的夜會。我們可以在那裡對付他。
    550139|00000000||阿瓦拉克怎麼說？
    550147|00000000||我認為阿瓦拉克應該不會喜歡這個主意。
    550154|00000000||他又不在，我也給他留了一封信。我們會在諾維格瑞跟他會合。
    554385|00000000||妳怎麼會知道女巫的夜會？
    554387|00000000||妳怎麼會知道這些事？我指的是伊勒瑞斯和女巫的夜會…
    554388|00000000||阿瓦拉克跟我說的，他告訴我那些追著我們的人的事。他說知識就是力量。
    550164|00000000||好吧，那就去威倫吧。
    550352|00000000||妳帶路。
    550212|00000000||換成是我，我就不會去。
    550258|00000000||唉，妳穿黑的不好看。
    550260|00000000||什麼意思？
    550262|00000000||妳以為他只是因為想念妳，才要和妳見面嗎？在我看來，他對妳應該別有居心。
    550263|00000000||唉，我早該料到了。
    550354|00000000||傑洛特，我受夠了。我不會讓別人在背後為我做決定。我們去威倫吧。
    550235|00000000||他可能只是想和妳說說話。
    550237|00000000||你怎麼知道？如果他有別的意圖呢？
    550239|00000000||他答應過我，他不會強迫妳做任何事。
    550246|00000000||所以我該去嗎？
    550247|00000000||他是妳父親。
    550252|00000000||途中會路過維吉瑪，我想是可以順便拜訪一下。
    550211|00000000||嗯，妳應該去。
    550218|00000000||妳要自己決定。
    550220|00000000||妳應該自己決定。
    550222|00000000||但我想聽聽你的意見。我該不該去？
    550177|00000000||等等。出發之前，我得先告訴妳一件事。
    550179|00000000||妳知道皇帝非常想找到妳嗎？
    550181|00000000||葉奈法有提過一些。
    550183|00000000||他要妳去見他。
    550185|00000000||為什麼現在跟我說這件事？
    550194|00000000||因為這可能是妳最後一次見到妳…父親的機會。
    550197|00000000||你覺得我應該去嗎？
    550163|00000000||我們得先去見皇帝。
    550162|00000000||來吧，我們邊走邊談。
    550135|00000000||希里，妳真的知道妳在做什麼嗎？
