;meta[language=hu]
; id      |key(hex)|key(str)| text
    581146|00000000||Aaaaaa!
    581147|00000000||Kegyelem!
   1061012|00000000||Oldozz el! Gyorsan!
    581145|00000000||Segítség!
    581222|00000000||Köszönöm…
    584339|00000000||El kell látni a sebeid?
    581225|00000000||Elboldogulok.
    584342|00000000||A vadászok visszajöhetnek…
    584344|00000000||Nem várom meg itt őket.
    584346|00000000||Sok szerencsét.
    584348|00000000||Szükségem lesz rá.
    584658|00000000||Visszavonulás? De hát nem vesztettük el a háborút.
    584660|00000000||Csendet.
    584662|00000000||Egész Észak a lábunk előtt hevert. Mi történt?
    584712|00000000||Hallgass, mert még megvádolnak lázítással.
    580688|00000000||A redaniak nem sokára itt lesznek.
    577580|00000000||Most kell döntenünk. Ha a császár visszautasítja, valaki másnak kell megtennie.
    577582|00000000||Hogy merészelsz?!
    577589|00000000||Őfelsége csak egy kihűlt tetem lenne, ha az embereim nem állítják meg az orgyilkost tegnap éjjel.
    577591|00000000||És úgy véled, ez feljogosít arra, hogy arrogáns legyél?
    577593|00000000||Én úgy vélem, nagy esélye van, hogy újra próbálkoznak és nem lehetek benne biztos, hogy meg tudjuk állítani.
    577597|00000000||Mi van Novigrad főpapjával?
    577599|00000000||Mi lenne vele?
    577613|00000000||Nos jól megérdemelt pihenését tölti vagy egyenesen Darn Ruachba küldték?
    577615|00000000||Az ő korában egy ilyen út ellenjavallott volna. És költséges.
    577617|00000000||Mhm.
   1068673|00000000||Jól van. Menjünk.
    578175|00000000||Ezt ki tanította neked?
    553330|00000000||Vesemir. Nagyon régen.
    562382|00000000||Mennyire régen?
    553331|00000000||Nagyon. Amikor még azt akartam, hogy a nevem Geralt Roger Eric du Haute-Bellegarcie legyen.
    572394|00000000||Mi? Hahaha.
    578177|00000000||Este elmesélem.
   1068675|00000000||És amikor eltörted a lábad, miután fogadtál, hogy leugrasz Kaer Morhen tetejéről, és pont a lovadra érkezel?
   1068677|00000000||Hm, ezt egyáltalán honnan tudod?
   1068679|00000000||Eskel mesélte. De én tőled szeretném hallani. Biztos vagyok benne, hogy van rá ésszerű magyarázatod.
